ADBE,Date,Close
,1/24/2018 16:00:00,197.78
,1/25/2018 16:00:00,197.51
,1/26/2018 16:00:00,201.3
,1/29/2018 16:00:00,198.23
,1/30/2018 16:00:00,196.9
,1/31/2018 16:00:00,199.76
,2/1/2018 16:00:00,199.38
,2/2/2018 16:00:00,195.64
,2/5/2018 16:00:00,190.27
,2/6/2018 16:00:00,194.47
,2/7/2018 16:00:00,192.34
,2/8/2018 16:00:00,185.16
,2/9/2018 16:00:00,187.99
,2/12/2018 16:00:00,192.15
,2/13/2018 16:00:00,193.48
,2/14/2018 16:00:00,197.13
,2/15/2018 16:00:00,202.97
,2/16/2018 16:00:00,201.56
,2/20/2018 16:00:00,202.98
,2/21/2018 16:00:00,202.09
,2/22/2018 16:00:00,202.61
,2/23/2018 16:00:00,209.74
,2/26/2018 16:00:00,212.15
,2/27/2018 16:00:00,208.82
,2/28/2018 16:00:00,209.13
,3/1/2018 16:00:00,206.03
,3/2/2018 16:00:00,209.79
,3/5/2018 16:00:00,211.16
,3/6/2018 16:00:00,212.01
,3/7/2018 16:00:00,216.86
,3/8/2018 16:00:00,216.4
,3/9/2018 16:00:00,221.11
,3/12/2018 16:00:00,220.94
,3/13/2018 16:00:00,219.76
,3/14/2018 16:00:00,218.44
,3/15/2018 16:00:00,218.87
,3/16/2018 16:00:00,225.55
,3/19/2018 16:00:00,222.18
,3/20/2018 16:00:00,229.75
,3/21/2018 16:00:00,226.85
,3/22/2018 16:00:00,220.52
,3/23/2018 16:00:00,215.02
,3/26/2018 16:00:00,228.91
,3/27/2018 16:00:00,213.8
,3/28/2018 16:00:00,212.54
,3/29/2018 16:00:00,216.08
,4/2/2018 16:00:00,212.28
,4/3/2018 16:00:00,215.93
,4/4/2018 16:00:00,225.05
,4/5/2018 16:00:00,223.54
,4/6/2018 16:00:00,218.61
,4/9/2018 16:00:00,219.17
,4/10/2018 16:00:00,224.53
,4/11/2018 16:00:00,223.63
,4/12/2018 16:00:00,226.96
,4/13/2018 16:00:00,224.06
,4/16/2018 16:00:00,226.52
,4/17/2018 16:00:00,226.52
,4/18/2018 16:00:00,231.1
,4/19/2018 16:00:00,227.62
,4/20/2018 16:00:00,225.24
,4/23/2018 16:00:00,225.3
,4/24/2018 16:00:00,217.89
,4/25/2018 16:00:00,217.32
,4/26/2018 16:00:00,221.91
,4/27/2018 16:00:00,221.9
,4/30/2018 16:00:00,221.6
,5/1/2018 16:00:00,224.08
,5/2/2018 16:00:00,221.1
,5/3/2018 16:00:00,226.05
,5/4/2018 16:00:00,228.51
,5/7/2018 16:00:00,230.99
,5/8/2018 16:00:00,234.56
,5/9/2018 16:00:00,239.74
,5/10/2018 16:00:00,241.15
,5/11/2018 16:00:00,241.88
,5/14/2018 16:00:00,238.37
,5/15/2018 16:00:00,236.6
,5/16/2018 16:00:00,237.39
,5/17/2018 16:00:00,236.85
,5/18/2018 16:00:00,238.09
,5/21/2018 16:00:00,238.1
,5/22/2018 16:00:00,238.79
,5/23/2018 16:00:00,243.91
,5/24/2018 16:00:00,245.15
,5/25/2018 16:00:00,243.56
,5/29/2018 16:00:00,242.19
,5/30/2018 16:00:00,247.4
,5/31/2018 16:00:00,247.4
,6/1/2018 16:00:00,251.31
,6/4/2018 16:00:00,253.34
,6/5/2018 16:00:00,252.7
,6/6/2018 16:00:00,253.95
,6/7/2018 16:00:00,247.51
,6/8/2018 16:00:00,251.21
,6/11/2018 16:00:00,251
,6/12/2018 16:00:00,252.59
,6/13/2018 16:00:00,256.13
,6/14/2018 16:00:00,258.1
,6/15/2018 16:00:00,251.82
,6/18/2018 16:00:00,255.69
,6/19/2018 16:00:00,251.74
,6/20/2018 16:00:00,251.24
,6/21/2018 16:00:00,248.83
,6/22/2018 16:00:00,243.63
,6/25/2018 16:00:00,239.68
,6/26/2018 16:00:00,242.25
,6/27/2018 16:00:00,237.68
,6/28/2018 16:00:00,239.81
,6/29/2018 16:00:00,243.81
,7/2/2018 16:00:00,243.26
,7/3/2018 13:00:00,242.01
,7/5/2018 16:00:00,244.18
,7/6/2018 16:00:00,248.19
,7/9/2018 16:00:00,249.77
,7/10/2018 16:00:00,248.63
,7/11/2018 16:00:00,248.12
,7/12/2018 16:00:00,254.87
,7/13/2018 16:00:00,258.59
,7/16/2018 16:00:00,254.68
,7/17/2018 16:00:00,258.31
,7/18/2018 16:00:00,259.78
,7/19/2018 16:00:00,257.68
,7/20/2018 16:00:00,257.54
,7/23/2018 16:00:00,259.47
,7/24/2018 16:00:00,257.49
,7/25/2018 16:00:00,263.17
,7/26/2018 16:00:00,263.17
,7/27/2018 16:00:00,254.81
,7/30/2018 16:00:00,254.81
,7/31/2018 16:00:00,244.68
,8/1/2018 16:00:00,248.01
,8/2/2018 16:00:00,252.22
,8/3/2018 16:00:00,253.28
,8/6/2018 16:00:00,254.11
,8/7/2018 16:00:00,253.39
,8/8/2018 16:00:00,253.83
,8/9/2018 16:00:00,253.8
,8/10/2018 16:00:00,253.7
,8/13/2018 16:00:00,253.54
,8/14/2018 16:00:00,256.05
,8/15/2018 16:00:00,250.52
,8/16/2018 16:00:00,248.89
,8/17/2018 16:00:00,245.7
,8/20/2018 16:00:00,249.76
,8/21/2018 16:00:00,251.5
,8/22/2018 16:00:00,255.54
,8/23/2018 16:00:00,257
,8/24/2018 16:00:00,261.51
,8/27/2018 16:00:00,262.4
,8/28/2018 16:00:00,263.04
,8/29/2018 16:00:00,268.36
,8/30/2018 16:00:00,266.43
,8/31/2018 16:00:00,263.51
,9/4/2018 16:00:00,266.68
,9/5/2018 16:00:00,256.14
,9/6/2018 16:00:00,259.75
,9/7/2018 16:00:00,260.87
,9/10/2018 16:00:00,265.37
,9/11/2018 16:00:00,267
,9/12/2018 16:00:00,267.79
,9/13/2018 16:00:00,268.52
,9/14/2018 16:00:00,274.69
,9/17/2018 16:00:00,268.25
,9/18/2018 16:00:00,270.79
,9/19/2018 16:00:00,264.88
,9/20/2018 16:00:00,266.34
,9/21/2018 16:00:00,260.88
,9/24/2018 16:00:00,264.09
,9/25/2018 16:00:00,267.84
,9/26/2018 16:00:00,268.47
,9/27/2018 16:00:00,269.91
,9/28/2018 16:00:00,269.95
,10/1/2018 16:00:00,275.49
,10/2/2018 16:00:00,272
,10/3/2018 16:00:00,270.51
,10/4/2018 16:00:00,263.71
,10/5/2018 16:00:00,263.22
,10/8/2018 16:00:00,254.69
,10/9/2018 16:00:00,254.16
,10/10/2018 16:00:00,237.91
,10/11/2018 16:00:00,238.59
,10/12/2018 16:00:00,248.87
,10/15/2018 16:00:00,238.01
,10/16/2018 16:00:00,260.67
,10/17/2018 16:00:00,258.91
,10/18/2018 16:00:00,250.35
,10/19/2018 16:00:00,245.03
,10/22/2018 16:00:00,251.06
,10/23/2018 16:00:00,251.76
,10/24/2018 16:00:00,238.44
,10/25/2018 16:00:00,252.92
