META,Date,Close
,3/27/2017 16:00:00,140.32
,3/28/2017 16:00:00,141.76
,3/29/2017 16:00:00,142.65
,3/30/2017 16:00:00,142.41
,3/31/2017 16:00:00,142.05
,4/3/2017 16:00:00,142.28
,4/4/2017 16:00:00,141.73
,4/5/2017 16:00:00,141.85
,4/6/2017 16:00:00,141.17
,4/7/2017 16:00:00,140.78
,4/10/2017 16:00:00,141.04
,4/11/2017 16:00:00,139.92
,4/12/2017 16:00:00,139.58
,4/13/2017 16:00:00,139.39
,4/17/2017 16:00:00,141.42
,4/18/2017 16:00:00,140.96
,4/19/2017 16:00:00,142.27
,4/20/2017 16:00:00,143.8
,4/21/2017 16:00:00,143.68
,4/24/2017 16:00:00,145.47
,4/25/2017 16:00:00,146.49
,4/26/2017 16:00:00,146.56
,4/27/2017 16:00:00,147.7
,4/28/2017 16:00:00,150.25
,5/1/2017 16:00:00,152.46
,5/2/2017 16:00:00,152.78
,5/3/2017 16:00:00,151.8
,5/4/2017 16:00:00,150.85
,5/5/2017 16:00:00,150.24
,5/8/2017 16:00:00,151.06
,5/9/2017 16:00:00,150.48
,5/10/2017 16:00:00,150.29
,5/11/2017 16:00:00,150.04
,5/12/2017 16:00:00,150.33
,5/15/2017 16:00:00,150.19
,5/16/2017 16:00:00,149.78
,5/17/2017 16:00:00,144.85
,5/18/2017 16:00:00,147.66
,5/19/2017 16:00:00,148.06
,5/22/2017 16:00:00,148.24
,5/23/2017 16:00:00,148.07
,5/24/2017 16:00:00,150.04
,5/25/2017 16:00:00,151.96
,5/26/2017 16:00:00,152.13
,5/30/2017 16:00:00,152.38
,5/31/2017 16:00:00,151.46
,6/1/2017 16:00:00,151.53
,6/2/2017 16:00:00,153.61
,6/5/2017 16:00:00,153.63
,6/6/2017 16:00:00,152.81
,6/7/2017 16:00:00,153.12
,6/8/2017 16:00:00,154.71
,6/9/2017 16:00:00,149.6
,6/12/2017 16:00:00,148.44
,6/13/2017 16:00:00,150.68
,6/14/2017 16:00:00,150.25
,6/15/2017 16:00:00,149.8
,6/16/2017 16:00:00,150.64
,6/19/2017 16:00:00,152.87
,6/20/2017 16:00:00,152.25
,6/21/2017 16:00:00,153.91
,6/22/2017 16:00:00,153.4
,6/23/2017 16:00:00,155.07
,6/26/2017 16:00:00,153.59
,6/27/2017 16:00:00,150.58
,6/28/2017 16:00:00,153.24
,6/29/2017 16:00:00,151.04
,6/30/2017 16:00:00,150.98
,7/3/2017 16:00:00,148.43
,7/5/2017 16:00:00,150.34
,7/6/2017 16:00:00,148.82
,7/7/2017 16:00:00,151.44
,7/10/2017 16:00:00,153.5
,7/11/2017 16:00:00,155.27
,7/12/2017 16:00:00,158.9
,7/13/2017 16:00:00,159.26
,7/14/2017 16:00:00,159.97
,7/17/2017 16:00:00,159.73
,7/18/2017 16:00:00,162.86
,7/19/2017 16:00:00,164.14
,7/20/2017 16:00:00,164.53
,7/21/2017 16:00:00,164.43
,7/24/2017 16:00:00,166
,7/25/2017 16:00:00,165.28
,7/26/2017 16:00:00,165.61
,7/27/2017 16:00:00,170.44
,7/28/2017 16:00:00,172.45
,7/31/2017 16:00:00,169.25
,8/1/2017 16:00:00,169.86
,8/2/2017 16:00:00,169.3
,8/3/2017 16:00:00,168.59
,8/4/2017 16:00:00,169.62
,8/7/2017 16:00:00,171.98
,8/8/2017 16:00:00,171.23
,8/9/2017 16:00:00,171.18
,8/10/2017 16:00:00,167.4
,8/11/2017 16:00:00,168.08
,8/14/2017 16:00:00,170.75
,8/15/2017 16:00:00,171
,8/16/2017 16:00:00,170
,8/17/2017 16:00:00,166.91
,8/18/2017 16:00:00,167.41
,8/21/2017 16:00:00,167.78
,8/22/2017 16:00:00,169.64
,8/23/2017 16:00:00,168.71
,8/24/2017 16:00:00,167.74
,8/25/2017 16:00:00,166.32
,8/28/2017 16:00:00,167.24
